,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
48422,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-03-22,-57.0,-24.0,-1.0,-61.0,-40.0,15.0
48423,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-03-23,-49.0,-23.0,-23.0,-71.0,-63.0,28.0
48424,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-03-24,-51.0,-21.0,-33.0,-72.0,-65.0,30.0
48425,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-03-25,-49.0,-20.0,-4.0,-70.0,-64.0,29.0
48426,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-03-26,-49.0,-19.0,-2.0,-71.0,-64.0,29.0
48427,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-03-27,-52.0,-20.0,-11.0,-70.0,-62.0,30.0
48428,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-03-28,-61.0,-26.0,-49.0,-68.0,-44.0,20.0
48429,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-03-29,-58.0,-27.0,-14.0,-64.0,-44.0,17.0
48430,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-03-30,-48.0,-23.0,-1.0,-71.0,-64.0,27.0
48431,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-03-31,-48.0,-18.0,6.0,-70.0,-66.0,28.0
48432,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-04-01,-48.0,-18.0,0.0,-70.0,-65.0,28.0
48433,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-04-02,-49.0,-18.0,-1.0,-72.0,-66.0,29.0
48434,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-04-03,-51.0,-17.0,-10.0,-70.0,-64.0,30.0
48435,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-04-04,-62.0,-28.0,-60.0,-69.0,-47.0,21.0
48436,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-04-05,-65.0,-36.0,-61.0,-72.0,-49.0,18.0
48437,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-04-06,-53.0,-29.0,-46.0,-75.0,-67.0,30.0
48438,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-04-07,-50.0,-20.0,4.0,-70.0,-66.0,29.0
48439,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-04-08,-53.0,-24.0,-13.0,-71.0,-66.0,29.0
48440,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-04-09,-53.0,-23.0,-11.0,-72.0,-67.0,30.0
48441,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-04-10,-53.0,-21.0,-6.0,-70.0,-65.0,31.0
48442,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-04-11,-59.0,-23.0,-30.0,-65.0,-45.0,19.0
48443,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-04-12,-67.0,-38.0,-22.0,-65.0,-46.0,16.0
48444,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-04-13,-51.0,-28.0,-2.0,-70.0,-65.0,28.0
48445,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-04-14,-50.0,-23.0,12.0,-68.0,-65.0,29.0
48446,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-04-15,-54.0,-22.0,3.0,-68.0,-64.0,28.0
48447,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-04-16,-64.0,-22.0,-8.0,-71.0,-65.0,30.0
48448,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-04-17,-65.0,-21.0,-15.0,-70.0,-62.0,30.0
48449,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-04-18,-69.0,-21.0,-12.0,-61.0,-40.0,18.0
48450,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-04-19,-68.0,-27.0,-3.0,-63.0,-41.0,15.0
48451,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-04-20,-63.0,-25.0,-13.0,-70.0,-64.0,28.0
48452,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-04-21,-63.0,-21.0,6.0,-70.0,-64.0,29.0
48453,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-04-22,-63.0,-23.0,10.0,-69.0,-64.0,28.0
48454,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-04-23,-62.0,-21.0,10.0,-70.0,-64.0,29.0
48455,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-04-24,-64.0,-20.0,5.0,-68.0,-61.0,29.0
48456,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-04-25,-67.0,-21.0,-3.0,-60.0,-39.0,18.0
48457,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-04-26,-66.0,-23.0,7.0,-61.0,-40.0,15.0
48458,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-04-27,-61.0,-23.0,3.0,-68.0,-62.0,27.0
48459,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-04-28,-61.0,-19.0,11.0,-67.0,-64.0,20.0
48460,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-04-29,-60.0,-23.0,-4.0,-67.0,-63.0,28.0
48461,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-04-30,-57.0,-20.0,8.0,-68.0,-63.0,28.0
48462,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-05-01,-57.0,-16.0,3.0,-65.0,-60.0,28.0
48463,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-05-02,-62.0,-18.0,-7.0,-58.0,-37.0,17.0
48464,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-05-03,-60.0,-20.0,18.0,-57.0,-36.0,14.0
48465,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-05-04,-54.0,-19.0,6.0,-67.0,-60.0,26.0
48466,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-05-05,-54.0,-13.0,14.0,-66.0,-61.0,26.0
48467,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-05-06,-55.0,-17.0,16.0,-66.0,-61.0,26.0
48468,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-05-07,-55.0,-14.0,19.0,-66.0,-61.0,27.0
48469,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-05-08,-56.0,-11.0,10.0,-64.0,-57.0,26.0
48470,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-05-09,-58.0,-6.0,6.0,-54.0,-33.0,14.0
48471,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-05-10,-58.0,-11.0,4.0,-54.0,-32.0,11.0
48472,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-05-11,-56.0,-24.0,-20.0,-68.0,-59.0,26.0
48473,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-05-12,-55.0,-14.0,3.0,-66.0,-60.0,26.0
48474,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-05-13,-54.0,-17.0,-2.0,-65.0,-59.0,26.0
48475,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-05-14,-54.0,-15.0,4.0,-67.0,-60.0,26.0
48476,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-05-15,-55.0,-14.0,14.0,-65.0,-56.0,25.0
48477,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-05-16,-58.0,-15.0,18.0,-56.0,-31.0,14.0
48478,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-05-17,-59.0,-22.0,-6.0,-60.0,-31.0,14.0
48479,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-05-18,-52.0,-18.0,1.0,-68.0,-58.0,25.0
48480,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-05-19,-51.0,-13.0,16.0,-66.0,-58.0,25.0
48481,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-05-20,-50.0,-14.0,19.0,-65.0,-57.0,25.0
48482,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-05-21,-49.0,-11.0,26.0,-65.0,-58.0,25.0
48483,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-05-22,-50.0,-8.0,25.0,-63.0,-54.0,24.0
48484,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-05-23,-55.0,-11.0,24.0,-54.0,-27.0,13.0
48485,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-05-24,-53.0,-15.0,38.0,-53.0,-28.0,10.0
48486,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-05-25,-52.0,-15.0,55.0,-72.0,-79.0,27.0
48487,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-05-26,-48.0,-11.0,23.0,-65.0,-56.0,24.0
48488,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-05-27,-48.0,-13.0,19.0,-64.0,-55.0,24.0
48489,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-05-28,-48.0,-11.0,25.0,-64.0,-55.0,24.0
48490,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-05-29,-50.0,-12.0,21.0,-60.0,-52.0,24.0
48491,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-05-30,-56.0,-17.0,-1.0,-54.0,-20.0,14.0
48492,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-05-31,-55.0,-21.0,24.0,-50.0,-21.0,12.0
48493,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-06-01,-53.0,-21.0,7.0,-63.0,-56.0,24.0
48494,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-06-02,-53.0,-15.0,16.0,-65.0,-56.0,25.0
48495,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-06-03,-51.0,-13.0,13.0,-63.0,-55.0,24.0
48496,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-06-04,-50.0,-11.0,23.0,-64.0,-55.0,24.0
48497,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-06-05,-52.0,-11.0,11.0,-62.0,-51.0,23.0
48498,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-06-06,-55.0,-11.0,24.0,-52.0,-19.0,12.0
48499,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-06-07,-53.0,-17.0,32.0,-50.0,-21.0,10.0
48500,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-06-08,-47.0,-14.0,26.0,-61.0,-53.0,22.0
48501,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-06-09,-47.0,-9.0,40.0,-61.0,-54.0,22.0
48502,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-06-10,-47.0,-13.0,37.0,-61.0,-53.0,22.0
48503,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-06-11,-47.0,-14.0,37.0,-62.0,-54.0,23.0
48504,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-06-12,-49.0,-15.0,20.0,-60.0,-50.0,22.0
48505,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-06-13,-52.0,-14.0,33.0,-49.0,-16.0,10.0
48506,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-06-14,-52.0,-20.0,43.0,-48.0,-18.0,9.0
48507,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-06-15,-46.0,-20.0,23.0,-60.0,-52.0,21.0
48508,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-06-16,-46.0,-14.0,44.0,-60.0,-53.0,21.0
48509,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-06-17,-46.0,-15.0,40.0,-61.0,-53.0,21.0
48510,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-06-18,-44.0,-12.0,39.0,-61.0,-54.0,21.0
48511,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-06-19,-45.0,-10.0,56.0,-57.0,-50.0,19.0
48512,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-06-20,-50.0,-10.0,32.0,-49.0,-14.0,9.0
48513,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-06-21,-50.0,-15.0,35.0,-47.0,-14.0,7.0
48514,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-06-22,-44.0,-19.0,26.0,-60.0,-54.0,20.0
48515,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-06-23,-43.0,-13.0,39.0,-60.0,-54.0,21.0
48516,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-06-24,-44.0,-14.0,35.0,-60.0,-52.0,21.0
48517,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-06-25,-43.0,-13.0,38.0,-59.0,-53.0,21.0
48518,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-06-26,-46.0,-13.0,26.0,-58.0,-50.0,20.0
48519,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-06-27,-48.0,-14.0,26.0,-48.0,-17.0,10.0
48520,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-06-28,-47.0,-19.0,33.0,-49.0,-15.0,8.0
48521,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-06-29,-38.0,-16.0,27.0,-59.0,-52.0,20.0
48522,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-06-30,-37.0,-11.0,37.0,-59.0,-53.0,20.0
48523,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-07-01,-36.0,-10.0,32.0,-57.0,-53.0,20.0
48524,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-07-02,-32.0,-1.0,38.0,-57.0,-55.0,19.0
48525,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-07-03,-37.0,0.0,47.0,-60.0,-67.0,22.0
48526,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-07-04,-59.0,-19.0,20.0,-54.0,-32.0,11.0
48527,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-07-05,-47.0,-23.0,23.0,-48.0,-21.0,7.0
